제목,저자,유형,내용
델리아 오언스 지음 ;김선형 옮김,살림출판사,종이책,
김주환 지음,위즈덤하우스 미디어그룹,종이책,
김주환 지음,위즈덤하우스 미디어그룹,종이책,
야마구치 슈 지음 ;김윤경 옮김,다산초당 ,종이책,
야마구치 슈 지음 ;김윤경 옮김,다산초당 ,종이책,
듀나 지음,제우미디어,종이책,
에리히 프롬 지음 ;황문수 옮김,문예출판사,종이책,
민진홍;최규문 지음,한빛미디어,종이책,
전국국어교사모임 지음,H ,종이책,
제임스 클리어 지음 ;이한이 옮김,비즈니스북스,종이책,
민동석 지음,이담 Books ,종이책,
신홍엽 [외]지음,초록비책공방,종이책,
예병일 지음,다른,종이책,
예병일 지음,다른,종이책,
김초엽 지음,허블,종이책,
김초엽 지음,허블,종이책,
데일 카네기 지음 ;임상훈 옮김,현대지성,종이책,
델리아 오언스 지음 ;김선형 옮김,살림출판사,종이책,
델리아 오언스 지음 ;김선형 옮김,살림출판사,종이책,
김주환 지음,위즈덤하우스 미디어그룹,종이책,
김주환 지음,위즈덤하우스 미디어그룹,종이책,
야마구치 슈 지음 ;김윤경 옮김,다산초당 ,종이책,
야마구치 슈 지음 ;김윤경 옮김,다산초당 ,종이책,
듀나 지음,제우미디어,종이책,
에리히 프롬 지음 ;황문수 옮김,문예출판사,종이책,
민진홍;최규문 지음,한빛미디어,종이책,
전국국어교사모임 지음,H ,종이책,
제임스 클리어 지음 ;이한이 옮김,비즈니스북스,종이책,
민동석 지음,이담 Books ,종이책,
신홍엽 [외]지음,초록비책공방,종이책,
예병일 지음,다른,종이책,
예병일 지음,다른,종이책,
김초엽,허블,종이책,
이꽃님,문학동네,종이책,
필로 편집부 편,매거진필로,종이책,
필로 편집부 편,매거진필로,종이책,
필로 편집부 편,매거진필로,종이책,
김형석 지음,아모르문디,종이책,
스티븐 레비츠키;대니얼 지블랫 지음;박세연 옮김,어크로스,종이책,
한강 지음,문학동네,종이책,
한강 지음,문학과지성사,종이책,
한강 지음,문학과지성사,종이책,
한강 지음,문학과지성사,종이책,
한강 지음,문학과지성사,종이책,
한강 지음,문학과지성사,종이책,
한강 지음,문학과지성사,종이책,
한강 지음,문학과지성사,종이책,
신카이 마코토 원작;아키사카 아사히 지음;박재영 옮김,대원씨아이,종이책,
이꽃님,문학동네,종이책,
C. S. 루이스 지음;김선형 옮김,홍성사,종이책,
박지혜 지음,탐,종이책,
양정무 지음;김지희 지도·일러스트레이션,사회평론,종이책,
이사벨 아옌데 지음;권미선 옮김,민음사,종이책,
셀린 벨로크 지음;류재화 옮김,자음과모음,종이책,
반다나 싱 지음;김세경 옮김,아작,종이책,
이충환 지음,동아엠앤비,종이책,
신경림 외 지음,걷는사람,종이책,
닷 허치슨 지음;김옥수 옮김,소담출판사,종이책,
임동주 지음,마야,종이책,
"움베르토 에코,리카르도 페드리가 편저;윤병언 옮김",아르테,종이책,
안리타 지음,[발행처불명],종이책,
문목하 지음,아작,종이책,
윌리엄 셰익스피어 지음;피천득 옮김,민음사,종이책,
레베카 레이즌 지음;이은선 옮김,황금시간,종이책,
리처드 도킨스 지음;홍영남;이상임 [공]옮김,을유문화사,종이책,
신영복 지음,돌베개,종이책,
로버트 기요사키 지음;안진환 옮김,민음인,종이책,
구병모 지음,위즈덤하우스,종이책,
김주환 외 지음,북멘토,종이책,
김정희 지음,42애비뉴,종이책,
칼 세이건 지음;홍승수 옮김,사이언스북스,종이책,
미야지 슈사쿠 지음;오세웅 옮김,7분의언덕,종이책,
미야자키 마사카츠 지음;노윤주 옮김;박해리 지도 일러스트,이다미디어,종이책,
미야자키 마사카츠 지음;노윤주 옮김;박해리 지도 일러스트,이다미디어,종이책,
토드 로즈 지음;정미나 옮김,21세기북스(북이십일),종이책,
정재승 지음,어크로스,종이책,
전용준;정유희 [공]지음,미디어숲(다빈치하우스),종이책,
임경덕 지음,루비페이퍼,종이책,
송지영 지음,슬로래빗,종이책,
박소영 지음,구름서재,종이책,
사토 겐타로 지음 ; 서수지 옮김,사람과나무사이,종이책,
질 볼트 테일러 지음;장호연 옮김,월북,종이책,
리처드 도킨스 지음;홍영남;이상임 [공]옮김,을유문화사,종이책,
도리스 레싱 지음 ; 김승욱 옮김,문예출판사,종이책,
칼 세이건 지음;홍승수 옮김,사이언스북스,종이책,
정주영 지음,한국경제신문(한경BP),종이책,
김민형 지음,인플루엔셜,종이책,
알렉스 코브 지음 ; 정지인 옮김,심심,종이책,
Robert Greene,Viking,종이책,
윤형진;감소영 외 지음,새로온봄,종이책,
우에다 가즈오 지음;신은주 옮김,길벗,종이책,
미히르 데사이 지음;김홍식 옮김,부키,종이책,
박은경 지음,경향신문사,종이책,
케리 브라운 지음;도지영 옮김,시그마북스,종이책,
권영회;신해헌 [공]지음,지식인,종이책,
by James Clear,Avery Publishing Group,종이책,
Seth Godin,Portfolio Penguin,종이책,
by Seth Stephens-Davidowitz,Bloomsbury,종이책,
앤서니 기든스;필립 서튼 [공]지음;김미숙 외 옮김,을유문화사,종이책,
무적핑크;핑크잼 [공]지음,위즈덤하우스,종이책,
데일 브레드슨 지음;박준형 옮김,토네이도,종이책,
김경원 지음,세종서적,종이책,
위고 메르시에;당 스페르베르 [공]지음;최호영 옮김,생각연구소,종이책,
임홍택 지음,whalebooks(웨일북),종이책,
김현하;지음,썸앤파커스,종이책,
송주한 지음,한울림스페셜,종이책,
알렉산드리아 마르자노 레즈네비치 지음;권가비 옮김,책세상,종이책,
리처드 도킨스 지음;홍영남;이상임 [공]옮김,을유문화사,종이책,
조정래;조재면 [공]지음,해냄,종이책,
황현산 지음,난다(문학동네),종이책,
작자미상;이상구 옮김,문학동네,종이책,
조세영 지음,한겨레,종이책,
팀 페리스 지음;박선령;정지현 [공]옮김,토네이도,종이책,
오무라 오지로 지음;신정원 옮김,위즈덤하우스,종이책,
바쉬 글·그림,위즈덤하우스,종이책,
바쉬 글·그림,위즈덤하우스,종이책,
팀 페리스;박선령;정지현 [공]옮김,토네이도,종이책,
최고은 지음,경향BP,종이책,
이근식 지음,쌤앤파커스,종이책,
김도윤 글·그림,한빛비즈,종이책,
중국을읽어주는중국어교사모임 지음,세그루,종이책,
중국을읽어주는중국어교사모임 지음,세그루,종이책,
중국을읽어주는중국어교사모임 지음,세그루,종이책,
강일권;고종석 외 지음,Score(스코어),종이책,
앤지 토머스 지음;공민희 옮김,걷는나무,종이책,
엄기호 지음,나무연필,종이책,
조던 B. 피터슨 지음;강주헌 옮김,메이븐,종이책,
초등성평등연구회 지음,마티,종이책,
바보아저씨 지음,바른북스,종이책,
김선미 지음,토크쇼,종이책,
세레나 발렌티노 지음;주정자 옮김,라곰,종이책,
록산 게이 지음;노지양 옮김,사이행성,종이책,
정경윤 원작;김명미 글·그림,YJ코믹스,종이책,
김광현 저,라온,종이책,
윤덕노 지음,더난출판,종이책,
카린 지에벨 지음;이승재 옮김,밝은세상,종이책,
손영종 지음,오르트,종이책,
중국을읽어주는중국어교사모임 지음,세그루,종이책,
김상미;고정화 [공]지음,춘천교육대학교출판부,종이책,
제임스 패터슨 지음 ; 조은아 옮김,북플라자,종이책,
오구리 히로시;사사키 시즈카 [공]지음;곽범신 옮김,Denstory(알피스페이스),종이책,
정영욱 지음,부크럼,종이책,
강선재 지음,지식인하우스,종이책,
이기호 지음,마음산책,종이책,
고레에다 히로카즈 지음 ; 이지수 옮김,바다출판사,종이책,
케빈 콴 지음;이윤진 옮김,열린책들,종이책,
권여선 지음,한겨레,종이책,
레나 모제 글;스테판 르멜 사진;이주영 옮김,책세상,종이책,
린이한 지음;허유영 옮김,비채,종이책,
유시민 지음,돌베개,종이책,
최장순 지음,홍익출판사,종이책,
마르그리트 뒤라스,문학과지성사,종이책,
히가시노게이고 지음;이혁재 옮김,재인,종이책,
히가시노게이고 지음;이혁재 옮김,재인,종이책,
칼 세이건 지음;홍승수 옮김,사이언스북스,종이책,
김상욱,동아시아,종이책,
김정은,글항아리,종이책,
알렉스 코브 지음 ; 정지인 옮김,심심,종이책,
우에타니부부 지음;오승민 옮김,더숲,종이책,
김수현 글·그림,마음의숲,종이책,
박광혁 지음,어바웃어북,종이책,
최민석,비채,종이책,
조이스 캐럴 오츠,민음사,종이책,
위화,푸른숲,종이책,
데니스 루헤인 지음 ; 박미영 옮김,황금가지,종이책,
엘리자 수아 뒤사팽,북레시피,종이책,
허수경,난다,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
이기호,현대문학,종이책,
앙드레 말로,문학동네,종이책,
허수경,문학동네,종이책,
엘렌 심 지음,북폴리오,종이책,
엘렌 심 지음,북폴리오,종이책,
엘렌 심 지음,북폴리오,종이책,
김수미 외 지음,BM성안당,종이책,
김두식,창비,종이책,
김명미 글·그림;정경윤 원작,YJ코믹스,종이책,
김명미 글·그림;정경윤 원작,YJ코믹스,종이책,
감자,42미디어콘텐츠,종이책,
사토 겐타로 지음 ; 서수지 옮김,사람과나무사이,종이책,
식식,책밥,종이책,
백상경제연구원 편저,한빛비즈,종이책,
유협,신생,종이책,
정영선,산지니,종이책,
도가와 신스케,에이케이커뮤니케이션즈,종이책,
줄리언 반스 지음 ; 정영목 옮김,다산책방,종이책,
김진영,한겨레출판,종이책,
안드레스 솔라노,은행나무,종이책,
가키야 미우 지음;김난주 옮김,왼쪽주머니,종이책,
데버라 리비,Playtime(플레이타임),종이책,
정이현 지음,현대문학,종이책,
한강 외 지음,은행나무,종이책,
최태섭,은행나무,종이책,
이승훈,경문사,종이책,
니콜라스 하이엄,승산,종이책,
니콜라스 하이엄,승산,종이책,
사쿠라이 스스무 지음;장은정 옮김,더숲,종이책,
"로널드 그레이엄, 도널드 커누스, 오렌 파타슈닉",인사이트,종이책,
김경모,미다스북스,종이책,
김경모,미다스북스,종이책,
김경모,미다스북스,종이책,
김경모,미다스북스,종이책,
김경모,미다스북스,종이책,
김경모,미다스북스,종이책,
김경모,미다스북스,종이책,
김경모,미다스북스,종이책,
김경모,미다스북스,종이책,
김경모,미다스북스,종이책,
김어준,푸른숲,종이책,
수전 팔루디,"Arte(아르테),",종이책,
데이비드그랜,프시케이숲,종이책,
소효 글·그림,필름,종이책,
요시오카 노보루 글 ; 니시 슈쿠 그림 ; 문방울 옮김,시드페이퍼,종이책,
굽시니스트 글·그림,위즈덤하우스,종이책,
굽시니스트 글·그림,위즈덤하우스,종이책,
굽시니스트 글·그림,위즈덤하우스,종이책,
로버트 비티,지학사아르볼,종이책,
정경윤 지음,가하,종이책,
타다 준이치로,BM성안당,종이책,
송기원,사이언스북스,종이책,
미치오 카쿠,김영사,종이책,
후타마세 도시후미,그린북,종이책,
닐 디그래스 타이슨,사이언스북스,종이책,
"우은진, 정충원, 조혜란",뿌리와이파리,종이책,
개빈 헤스케스 지음;배지은 옮김,반니,종이책,
와쿠이사다미 지음;조민정 옮김,그린북,종이책,
이꽃님,문학동네,종이책,
히가시노 게이고 지음 ; 양윤옥 옮김,소미미디어,종이책,
히가시노게이고,김영사,종이책,
도리스 레싱 지음 ; 김승욱 옮김,문예출판사,종이책,
뉴트 스캐맨더 지음;최인자 옮김,문학수첩리틀북,종이책,
김동환 지음,휴머니스트,종이책,
오후,동아시아,종이책,
이슬아,문학동네,종이책,
나카노 노부코,동양북스,종이책,
이반 세르게예비치 투르게네프,민음사,종이책,
김나위,다연,종이책,
정문정 지음,가나출판사,종이책,
스미노요루,소미미디어,종이책,
박재준,Kyra,종이책,
이국종 지음,흐름,종이책,
이국종 지음,흐름,종이책,
이국종 지음,흐름,종이책,
이국종 지음,흐름,종이책,
유아정,에이엠스토리,종이책,
양쯔바오,스노우폭스북스,종이책,
오사 게렌발,우리나비,종이책,
정은궐 지음,파란,종이책,
이덕일 지음,다산북스,종이책,
이덕일 지음,다산북스,종이책,
정재승 지음,어크로스,종이책,
법정스님지음;리경 엮음,김영사,종이책,
구병모 지음,민음사,종이책,
유시민 지음,돌베개,종이책,
이기호외8인[공] 지음,다산책방,종이책,
김금희 지음,창비,종이책,
오정희 지음,문학과지성사,종이책,
오정희,문학과지성사,종이책,
오정희 지음,문학과 지성사,종이책,
오정희 지음,문학과지성사,종이책,
오정희 지음,문학과지성사,종이책,
노명우,사계절,종이책,
노명우,사계절,종이책,
영주 지음,사이행성,종이책,
리차드 바크 지음;공경희 옮김,나무옆의자,종이책,
하태완 지음,위즈덤하우스,종이책,
"김명미 글,그림",와이제이코믹스,종이책,
이상섭 지음,산지ㅇ니,종이책,
퍼트리샤 에반스 지음;이강혜 옮김,북바이북,종이책,
제시카 발렌티 지음;홍지수 옮김,두시의나무,종이책,
배상훈 지음,스노우폭스,종이책,
녹색평론사 [편],녹색평론사,종이책,
자까 지음,RHK,종이책,
자까,RHK,종이책,
장강명 지음,민음사,종이책,
김성우 지음,쇤하이트,종이책,
최동민 지음,민음사,종이책,
니코스 카잔자키스 지음;유재원 옮김,문학과지성사,종이책,
최대윤.심태열 지음,중앙 북스,종이책,
미나토가나에 지음;김난주 옮김,재인,종이책,
이나은 지음 ; 명민호 그림,나무의철학,종이책,
순끼 지음,바이브릿지,종이책,
순끼 지음,바이브릿지,종이책,
순끼 지음,바이브릿지,종이책,
순끼 지음,바이브릿지,종이책,
베르나르 베르베르 지음;전미연 옮김,열린책들,종이책,
베르나르 베르베르 지음;전미연 옮김,열린책들,종이책,
"노선경 글,그림",필름,종이책,
윤고은 지음,문학과지성사,종이책,
작자미상;이다희 옮김,비룡소,종이책,
박한식.강국진 지음,부.키,종이책,
박민영 지음,북트리거,종이책,
정용실 지음,한겨레출판,종이책,
고지마 히로유키 지음;나기사와 나오그림;오시연옮김,지상사,종이책,
홍채영 지음,궁리,종이책,
"올리버 색스;자서전,이민아;옮김",알마,종이책,
게르드 브란튼베르그 지음;노옥재...[등]옮김,황금가지,종이책,
정문정 지음,가나출판사,종이책,
아오사키 유고,한스미디어,종이책,
칼 세이건 지음;홍승수 옮김,사이언스북스,종이책,
정은궐 지음,파란,종이책,
칼 세이건 지음;홍승수 옮김,사이언스북스,종이책,
게르드 브란튼베르그 지음;노옥재...[등]옮김,황금가지,종이책,
스티븐 레비츠키;대니얼 지블랫 지음 ;;박세연 옮김,어크로스,종이책,
신영복 지음,돌베개,종이책,
신영복 지음,돌베개,종이책,
김상욱 지음,동아시아,종이책,
김상욱 지음,동아시아,종이책,
정란희 글 ;양상용 그림,스콜라 ,종이책,
정란희 글 ;양상용 그림,스콜라 ,종이책,
리처드 도킨스 지음 ;홍영남;이상임 옮김,을유문화사,종이책,
김민형 지음,인플루엔셜,종이책,
리처드 도킨스 지음 ;홍영남;이상임 옮김,을유문화사,종이책,
김민형 지음,인플루엔셜,종이책,
줄리언 반스 지음 ; 정영목 옮김,다산책방,종이책,
최진영 지음,민음사,종이책,
김애란 지음,문학동네,종이책,
박준 지음,난다,종이책,
박준 지음,난다,종이책,
박준 지음,난다,종이책,
유발 하라리 지음;김명주 옮김,김영사,종이책,
유발 하라리 지음;김명주 옮김,김영사,종이책,
유발 하라리 지음;김명주 옮김,김영사,종이책,
이현석 외 지음,부키,종이책,
이현석 외 지음,부키,종이책,
이현석 외 지음,부키,종이책,
이현석 외 지음,부키,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
"루이스 자네티 저;박만준,진기행 [공]역",K-books,종이책,
이현석 외 지음,부키,종이책,
이현석 외 지음,부키,종이책,
이현석 외 지음,부키,종이책,
이현석 외 지음,부키,종이책,
헨리 데이빗 소로우 지음;강승영 옮김,은행나무,종이책,
한강 지음,문학동네,종이책,
스미노 요루 지음;양윤옥 옮김,소미미디어,종이책,
웬들린 밴 드라닌 지음;김율희 옮김,f(에프),종이책,
신카이 마코토 지음;박미정 옮김,대원씨아이,종이책,
신카이 마코토 지음;김효은 옮김,대원씨아이,종이책,
신카이 마코토 지음;김혜리 옮김,대원씨아이,종이책,
신카이 마코토 원작;오바 와쿠 지음;김효진 옮김,대원씨아이,종이책,
"양정무 지음;조고은,함지은 [공]지도·일러스트레이션",사회평론,종이책,
"양정무 지음;조고은,함지은 [공]지도·일러스트레이션",사회평론,종이책,
김승섭 지음,동아시아,종이책,
백가희 지음,쿵,종이책,
김용운 지음,상수리,종이책,
라인홀드 니버 지음;이한우 옮김,문예출판사,종이책,
미치 앨봄 지음;공경희 옮김,살림,종이책,
오가와 이토 지음;권남희 옮김,예담,종이책,
올리버 색스 지음;조석현 옮김;이정호 그림,알마,종이책,
유시민 지음,돌베개,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
김희준 지음,상상아카데미,종이책,
레베카 레이즌 지음;이은선 옮김,황금시간,종이책,
이상권 지음,자음과모음,종이책,
정한아 지음,문학동네,종이책,
사이먼 싱 지음;곽영직 옮김,영림카디널,종이책,
손원평 지음,은행나무,종이책,
김애란 지음,문학동네,종이책,
팀 페리스 지음;박선령;정지현 [공]옮김,토네이도,종이책,
올리버 색스 지음;조석현 옮김;이정호 그림,알마,종이책,
미치 앨봄 지음;공경희 옮김,살림,종이책,
B. A. 패리스 지음;이수영 옮김,arte(북이십일),종이책,
조한경 지음,에디터,종이책,
"Kylene Beers;Martha Hougen;Carol Jago;William L. McBride, Erik Palmer, Lydia Stack",Houghton Mifflin Harcourt,종이책,
Sy Montgomery; Elizabeth Marshall Thomas,Chelsea Green,종이책,
베키 앨버탤리 지음;신소희 옮김,돌베개,종이책,
무적핑크 지음,이마(위즈덤하우스),종이책,
한나 아렌트 지음;이진우 옮김,한길사,종이책,
에릭 리우 지음;구세희 옮김,저스트북스,종이책,
이상구 옮김,문학동네,종이책,
조광국 옮김,문학동네,종이책,
Uldis Zarins;Sandis Kondrats 지음;Jeranimo Yoo 옮김,MGHbooks(엠지에이치북스),종이책,
조앤 김 지음,Book&#35107(더스토리하우스),종이책,
다카하시 노부오 지음;신은주 옮김,길벗,종이책,
전국사회교사모임 지음,살림Friends(살림),종이책,
배명훈 지음;국민지 그림,창비,종이책,
배미주 지음;김세희 그림,창비,종이책,
박상기 지음;정원 그림,창비,종이책,
박지원 지음;김혈조 옮김,돌베개,종이책,
박지원 지음;김혈조 옮김,돌베개,종이책,
박지원 지음;김혈조 옮김,돌베개,종이책,
유용범 지음,노스보스,종이책,
세바스티앵 라시뇌;충 렝 트란 [공]지음;정한진 옮김,그린쿡,종이책,
by Michael Breen,Penguin random house,종이책,
김봉현 지음;SUIKO 그림,윌북,종이책,
요네자와 호노부 지음;김선영 옮김,엘릭시르(문학동네),종이책,
요네자와 호노부 지음;김선영 옮김,엘릭시르(문학동네),종이책,
무적핑크 지음,이마(위즈덤하우스),종이책,
김중혁 지음,위즈덤하우스,종이책,
히가시노 게이고 지음;윤성원 옮김,RHK(알에이치코리아),종이책,
스탠 비첨 지음;차백만 옮김,비즈페이퍼,종이책,
남궁인 지음,난다,종이책,
당칠공자 지음;문현선 옮김,문학동네,종이책,
B. A. 패리스 지음;이수영 옮김,arte(북이십일),종이책,
토드 부크홀츠 지음;류현 옮김,김영사,종이책,
히가시노 게이고,현대문학,종이책,
J. D. 밴스 지음;김보람 옮김,흐름(넥스트웨이브미디어),종이책,
조르주 심농 지음;임호경 옮김,열린책들,종이책,
추정경 지음,돌베개,종이책,
백창화;김병록 [공]지음,남해의봄날,종이책,
YM기획 엮음,베프북스,종이책,
중국을읽어주는중국어교사모임 지음,세그루,종이책,
중국을읽어주는중국어교사모임 지음,세그루,종이책,
중국을읽어주는중국어교사모임 지음,세그루,종이책,
박영흠 지음,반니,종이책,
나이토 요시히토 지음;김한나 옮김,유노북스,종이책,
곽해선 지음,혜다,종이책,
"다니엘 콜 (지은이), 유혜인 (옮긴이)",북플라자,종이책,
장동완 지음,리더스북(웅진씽크빅),종이책,
윤덕노 지음,더난출판,종이책,
이유남 지음,Denstory,종이책,
중국을읽어주는중국어교사모임 지음,세그루,종이책,
박의수 [외] 공저,동문사,종이책,
존 H. 밀러 지음;정형채;최화정 [공]옮김,에이도스,종이책,
이기호 지음 ; 박선경 그림,마음산책,종이책,
김홍철 지음,청어,종이책,
유시민 지음,돌베개,종이책,
경기도교육청약전작가단 지음 ; 경기도교육청 엮음 ; 김병하 그림,굿플러스북,종이책,
기욤 뮈소 지음 ; 양영란 옮김,밝은세상,종이책,
박철우 지음,지식너머,종이책,
김진애 지음 ; 김선정 일러스트,다산북스,종이책,
이동진 지음,예담,종이책,
김동식 지음,요다,종이책,
김동식 지음,요다,종이책,
히가시노게이고 지음 ; 권일영 옮김,알에이치코리아,종이책,
"중국외문출판발행사업국, 중국번역연구원",경지출판사,종이책,
조한경 지음,에디터,종이책,
베르나르 베르베르 지음;전미연 옮김,열린책들,종이책,
나카무라 후미노리,자음과모음,종이책,
박영권,예나북스,종이책,
"박성은, 김진호 지음",한나래,종이책,
박형주 지음,들녘,종이책,
이승민 지음,위즈덤하우스,종이책,
히가시노게이고 지음;김난주 옮김,재인,종이책,
NHK도카이무라임계사고취재반 지음;이와모토히로시 집필;신정원 옮김,뿌리와이파리,종이책,
김형숙 지음,뜨인돌,종이책,
야쿠마루 가쿠 지음;김성미 옮김,북플라자,종이책,
조유미 글 ; 화가율 그림,허밍버드,종이책,
조남주 외 지음,다산북스,종이책,
손원평 지음,창비,종이책,
손원평 지음,창비,종이책,
유홍준 지음,창비,종이책,
유홍준 지음,창비,종이책,
이기호 지음,문학동네,종이책,
강화길 지음,한겨레출판,종이책,
로버트 루이스 스티븐슨,펭귄 클래식 코리아,종이책,
김희경 지음,동아시아,종이책,
클레어 맥킨토시 지음 ; 공민희 옮김,나무의철학,종이책,
김윤나 지음,카시오페아,종이책,
정은궐 지음,파란,종이책,
호프 자런 지음 ; 김희정 옮김 ; 신혜우 그림,알마출판사,종이책,
"로버트 K. 레슬러, 톰 샤흐트만 [공]지음;황정하, 손명희 [공]옮김",바다출판사,종이책,
김홍철 지음,청어,종이책,
노승아,ym북스,종이책,
댄 브라운 지음;홍성영 옮김,문학수첩,종이책,
안시내 지음,처음북스,종이책,
안시내 지음,알에이치코리아,종이책,
주자청 지음;박하정 옮김,태학사,종이책,
기시 유스케 지음;이선희 옮김,창해,종이책,
김제동 [외]41인지음,샘터사,종이책,
히가시노 게이고,RHK,종이책,
안드레 애치먼 지음 ; 정지현 옮김,잔,종이책,
김지훈 지음,니들북,종이책,
김재인 지음,동아시아,종이책,
에이미 E. 허먼 지음 ; 문희경 옮김,청림출판,종이책,
박민영 지음,북트리거,종이책,
엘리아냥 지음,위치,종이책,
조재근 지음,한국문학사,종이책,
도마베치히데토 지음 ; 한진아 옮김,북클라우드,종이책,
황농문 지음,랜덤하우스,종이책,
"칼 세이건,앤 드루얀 [공]지음;김혜원 옮김",사이언스북스,종이책,
브라이언 해리스 지음;이보경 옮김,열대림,종이책,
"존  래프랜드 지음,;유영희.황규진;옮김",책보세(책으로 보는 세상),종이책,
이상권 지음,자음과모음,종이책,
스티븐 핑커 지음;김한영 옮김,소소,종이책,
"화사 외41인;지음,한국여성민우회;엮음",궁리,종이책,
조남주 외 지음,다산북스,종이책,
"미즈키 히로미;지음,카라스바 아메;일러스트,김연희;옮김",소미 미디어,종이책,
